SEASON,GAME_DATE,TEAM_ID,FGM_DIFF,FGA_DIFF,FG3M_DIFF,FTM_DIFF,FTA_DIFF,OREB_DIFF,DREB_DIFF,AST_DIFF,STL_DIFF,TOV_DIFF,PF_DIFF,PTS_DIFF,WIN,HOME_GAME
2002,2002-10-30,1610612737,-3.0,-3,2,-7.0,-7.0,-6,-7,-3,5,3,4.0,-11,0,0
2002,2002-10-31,1610612737,6.0,-1,-1,-4.0,-3.0,-2,5,3,-3,2,2.0,7,1,1
2002,2002-11-02,1610612737,-1.0,-12,1,7.0,5.0,0,4,10,-8,9,-5.0,6,1,1
2002,2002-11-05,1610612737,8.0,-7,2,-2.0,-5.0,-3,13,8,3,6,7.0,16,1,0
2002,2002-11-06,1610612737,-2.0,-2,0,-1.0,1.0,6,3,-9,2,5,3.0,-5,0,0
2002,2002-11-08,1610612737,-6.0,-11,6,-7.0,-15.0,-10,-8,-17,1,4,4.0,-13,0,0
2002,2002-11-10,1610612737,-3.0,-5,-2,0.0,-4.0,-1,4,-2,-3,7,2.0,-8,0,0
2002,2002-11-12,1610612737,0.0,-20,-1,13.0,13.0,-8,16,-5,-8,8,-3.0,12,1,0
2002,2002-11-16,1610612737,0.0,-18,1,6.0,11.0,-6,13,6,-2,5,-1.0,7,1,1
2002,2002-11-18,1610612737,17.0,19,-3,-6.0,-12.0,4,5,13,-5,-6,0.0,25,1,1
2002,2002-11-20,1610612737,-6.0,0,1,1.0,-1.0,-1,-3,0,-4,-1,1.0,-10,0,1
2002,2002-11-27,1610612737,-8.0,-3,0,4.0,8.0,4,0,-13,-2,4,-1.0,-12,0,0
2002,2002-11-29,1610612737,-6.0,-28,-1,19.0,20.0,-9,10,-2,-2,5,-5.0,6,1,1
2002,2002-11-30,1610612737,-8.0,6,-2,-7.0,-9.0,3,-5,-4,-2,4,2.0,-25,0,0
2002,2002-12-03,1610612737,-3.0,-3,1,-10.0,-2.0,2,0,2,3,5,3.0,-15,0,0
2002,2002-12-05,1610612737,8.0,2,0,2.0,3.0,2,5,10,4,-2,-2.0,18,1,1
2002,2002-12-07,1610612737,0.0,-14,-4,6.0,4.0,-5,13,2,-2,6,2.0,2,1,1
2002,2002-12-11,1610612737,-4.0,-6,-1,-2.0,-11.0,0,10,-9,-8,13,0.0,-11,0,0
2002,2002-12-12,1610612737,-5.0,-3,1,-9.0,-13.0,-5,-1,-5,2,6,8.0,-18,0,0
2002,2002-12-14,1610612737,-8.0,-12,4,-2.0,3.0,-2,-1,-5,-3,6,0.0,-14,0,1
2002,2002-12-17,1610612737,-7.0,1,0,4.0,2.0,2,-4,-2,2,1,-1.0,-10,0,1
2002,2002-12-20,1610612737,0.0,10,-4,-15.0,-15.0,14,-4,-2,-2,5,7.0,-19,0,0
2002,2002-12-21,1610612737,-1.0,-16,3,1.0,3.0,-14,-5,1,4,-4,-2.0,2,1,1
2002,2002-12-23,1610612737,-3.0,-5,0,-9.0,-13.0,-7,-7,-10,-4,5,5.0,-15,0,0
2002,2002-12-27,1610612737,3.0,5,0,-4.0,-7.0,4,-3,7,2,-4,5.0,2,1,1
2002,2002-12-28,1610612737,2.0,9,-1,-11.0,-15.0,3,2,-3,-1,4,10.0,-8,0,0
2002,2002-12-30,1610612737,-4.0,0,0,-1.0,1.0,1,-3,-5,-1,5,-1.0,-9,0,0
2002,2003-01-04,1610612737,-1.0,0,-8,6.0,2.0,2,3,1,5,-1,4.0,-4,0,1
2002,2003-01-08,1610612737,-7.0,1,-4,0.0,3.0,6,0,-4,-1,5,0.0,-18,0,1
2002,2003-01-10,1610612737,0.0,-8,-4,13.0,5.0,-5,3,0,0,0,3.0,9,1,1
2002,2003-01-11,1610612737,3.0,-15,-1,2.0,7.0,0,10,-1,-2,7,0.0,7,1,1
2002,2003-01-14,1610612737,-3.0,-4,-4,1.0,6.0,5,8,0,-8,12,3.0,-9,0,0
2002,2003-01-15,1610612737,1.0,3,-7,-15.0,-13.0,7,6,-1,-6,11,3.0,-20,0,0
2002,2003-01-17,1610612737,0.0,1,1,-14.0,-20.0,-3,0,-2,-4,9,3.0,-13,0,0
2002,2003-01-18,1610612737,1.0,-5,-4,-1.0,0.0,-1,8,3,0,5,5.0,-3,0,1
2002,2003-01-20,1610612737,-11.0,-15,-3,12.0,11.0,-4,1,-8,-3,7,0.0,-13,0,1
2002,2003-01-22,1610612737,-1.0,0,3,-3.0,1.0,0,-5,-1,-2,-1,3.0,-2,0,1
2002,2003-01-24,1610612737,6.0,12,6,-7.0,-11.0,2,5,3,3,-5,7.0,11,1,1
